,Role,Date,Seniority,Salary,Company
907,C# Programmer,2021-06-28,3,12500,גלובל מטריקס
908,C# Programmer,2021-06-27,0,19000,צ'קפוינט
909,DevOps,2021-06-27,6,25000,מטריקס
910,DevOps,2021-06-27,10,34000,מערכות אלביט
911,Python Programmer,2021-06-27,11,40000,באק-אפ אוון
912,Python Programmer,2021-06-27,9,26000,ווצ'איט
913,Python Programmer,2021-06-27,1,21500,נטוורקס סימנס נוקיה
914,Python Programmer,2021-06-27,3,30000,רדט
915,Software Engineer,2021-06-24,7,30000,איי אס אר
916,C Programmer,2021-06-24,5,15000,מערכות אלביט
917,Python Programmer,2021-06-24,2,14000,פוליוויז
918,Python Programmer,2021-06-24,3,25000,אפ סטארט
919,Java Programmer,2021-06-24,2,9500,"צה""ל"
920,Mobile Programmer,2021-06-24,2,20000,סליפרייט
921,Software Engineer,2021-06-24,4,14000,אמדוקס
922,Software Student,2021-06-24,3,15000,מיקרוסופט
923,DevOps,2021-06-24,3,22000,סנדיסק
924,Team Leader,2021-06-24,8,27000,סופטוויר גליל
925,Software Engineer,2021-06-23,2,20000,אנבידיה
926,Web Programmer,2021-06-23,0,12000,מטריקס
927,Web Programmer,2021-06-23,3,14000,מיקרוסופט
928,Database Administrator,2021-06-23,0,4000,אדג' סולאר
929,Python Programmer,2021-06-23,4,22000,אימונומי
930,Team Leader,2021-06-23,6,23000,פיוניר
931,Cyber Security,2021-06-23,5,19000,און לוג
932,Python Programmer,2021-06-23,1,24000,סימילרווב
933,C# Programmer,2021-06-22,11,20000,בי.אם.סי
934,Software Engineer,2021-06-22,3,15000,ראיה טכנולוגיות מובילאיי
935,Team Leader,2021-06-22,0,12000,פארמה אינטק
936,Java Programmer,2021-06-22,0,8500,איירוקס
937,Team Leader,2021-06-22,8,26000,"צה""ל"
938,Python Programmer,2021-06-22,0,6000,ראפט
939,C# Programmer,2021-06-22,8,35500,מיקרונט
940,C# Programmer,2021-06-22,4,16000,מלם-תים
941,.NET,2021-06-21,6,20000,קונסיסט
942,Web Programmer,2021-06-21,5,27000,Wix
943,Java Programmer,2021-06-21,1,12440,שורקומפ
944,Web Programmer,2021-06-21,5,29000,רפאל
945,C# Programmer,2021-06-21,0,5000,תוכנה פיתוח אחד ועוד אחד
946,Software Engineer,2021-06-20,11,29000,מדידה מכשירי נובה
947,C# Programmer,2021-06-20,1,19000,צ'קפוינט
948,C Programmer,2021-06-20,9,25000,צ'קפוינט
949,Algorithms Developer,2021-06-20,3,20000,רפאל
950,C# Programmer,2021-06-20,8,18000,הייעוץ חברת BDO האפט זיו
951,C# Programmer,2021-06-20,1,16000,איי אס אר
952,Team Leader,2021-06-20,3,8000,"צה""ל"
953,Python Programmer,2021-06-20,8,37000,דאטה ואסט
954,Web Programmer,2021-06-20,4,27000,ג׳ונקו
955,Python Programmer,2021-06-20,1,12450,הוט
956,Software Engineer,2021-06-20,11,58000,אמזון
957,Web Programmer,2021-06-20,1,8000,מטריקס
958,Java Programmer,2021-06-20,0,9000,צ'קפוינט
959,Software Student,2021-06-20,0,6000,רפאל
960,Software Student,2021-06-20,0,5000,אינטל
961,Cyber Security,2021-06-20,1,13000,מיקרוסופט
962,Java Programmer,2021-06-20,6,23000,דיסקונט בנק
963,Web Programmer,2021-06-17,0,15000,הבינלאומי בנק
964,Software Student,2021-06-17,0,5000,סאפ
965,Cyber Security,2021-06-17,2,12900,צ'קפוינט
966,Software Engineer,2021-06-17,2,20000,אינטל
967,Team Leader,2021-06-17,1,10000,לביטוח חברה איילון
968,Web Programmer,2021-06-17,0,7000,איצ טי אר גי
969,Python Programmer,2021-06-17,10,40000,יבמ - טראסטיר
970,Software Student,2021-06-17,1,9000,אינטל
971,Web Programmer,2021-06-16,2,18500,מוטורולה
972,Mobile Programmer,2021-06-16,4,17000,מונסייט
973,Software Student,2021-06-16,0,8000,נייס
974,Software Student,2021-06-16,0,6800,אינטל
975,.NET,2021-06-16,0,7000,טק אס אן אי
976,Java Programmer,2021-06-16,2,26000,אפאקס סאנבירד
977,Software Engineer,2021-06-16,6,32500,טולונה
978,Java Programmer,2021-06-16,0,6000,סאפיאנס
979,Software Engineer,2021-06-16,11,35000,אינטל
980,DevOps,2021-06-16,0,21000,לייבפרסון
981,C# Programmer,2021-06-16,8,32500,סייברארק
982,Software Engineer,2021-06-16,10,20000,רפאל
983,Team Leader,2021-06-16,0,28000,צ'קפוינט
984,Software Engineer,2021-06-16,11,28000,רפאל
985,Team Leader,2021-06-16,7,23000,רפאל
986,C Programmer,2021-06-15,7,25300,אינטל
987,C Programmer,2021-06-15,5,10000,סינטקמדיה
988,C# Programmer,2021-06-15,10,30000,סופטוור מג'יק
989,Cyber Security,2021-06-15,3,15000,מערכות אלביט
990,C Programmer,2021-06-15,1,6000,איירוקס
991,C# Programmer,2021-06-15,11,33000,צ'קמרקס
992,Java Programmer,2021-06-15,0,16000,אמדוקס
993,C# Programmer,2021-06-15,6,15000,קולפלו
994,C# Programmer,2021-06-15,4,23000,לופה
995,Algorithms Developer,2021-06-15,4,31000,רפאל
996,Java Programmer,2021-06-15,2,32000,סייברזן
997,Web Programmer,2021-06-15,8,33500,פיוניר
998,C# Programmer,2021-06-15,11,35000,דאבלוריפיי
999,Software Engineer,2021-06-15,7,42000,בלומברג
1000,Software Student,2021-06-15,0,14400,אינטל
1001,Software Engineer,2021-06-15,10,38000,האט רד
1002,Web Programmer,2021-06-15,3,19000,אייפסטר
1003,.NET,2021-06-15,0,14000,בולט
1004,Java Programmer,2021-06-15,4,23000,קלריזן
1005,Software Engineer,2021-06-15,5,25000,ליבריס אקס
1006,Sysadmin Windows,2021-06-15,4,20000,טבע
1007,DevOps,2021-06-15,0,10000,אמדוקס
1008,Team Leader,2021-06-15,5,37000,אפ סטארט
1009,Team Leader,2021-06-15,6,13000,"צה""ל"
1010,Software Engineer,2021-06-15,1,10000,רפאל
1011,Team Leader,2021-06-13,2,8500,קרגו פליינג
1012,Team Leader,2021-06-13,11,30000,מטרוניקס
1013,C Programmer,2021-06-13,0,7000,איצ טי אר גי
1014,C# Programmer,2021-06-13,0,25000,אלגוטק
1015,Mobile Programmer,2021-06-13,0,20000,GetTaxi
1016,Team Leader,2021-06-13,2,17000,לישראל הטבעי הגז נתיבי
1017,Software Engineer,2021-06-13,2,16000,אינטל
1018,Software Engineer,2021-06-13,10,30000,מערכות אלביט
1019,Cyber Security,2021-06-13,3,14000,מטריקס
1020,Web Programmer,2021-06-13,2,12000,ארץ דרך
1021,Java Programmer,2021-06-13,11,28000,ישיר ביטוח
1022,Java Programmer,2021-06-12,10,28000,HPE מרקורי
1023,C# Programmer,2021-06-12,6,29000,אודיוקודס
1024,Algorithms Developer,2021-06-12,11,30000,טי. אנד איי.טי.
1025,C Programmer,2021-06-12,3,17000,מערכות אלתא
1026,PHP,2021-06-12,0,8000,איינמאנג'
1027,Web Programmer,2021-06-12,6,10000,מטריקס
1028,Software Engineer,2021-06-12,11,23000,אווירית תעשייה
1029,Web Programmer,2021-06-12,0,20000,פייברנט
1030,Web Programmer,2021-06-10,2,19000,אמדוקס
1031,C Programmer,2021-06-10,0,8000,איצ טי אר גי
1032,Java Programmer,2021-06-10,2,10000,גלובל מטריקס
1033,.NET,2021-06-10,4,16000,Solutions Chili
1034,Algorithms Developer,2021-06-10,7,28000,טראקס
1035,Sysadmin Windows,2021-06-10,9,24500,נס
1036,Java Programmer,2021-06-10,0,20000,אמדוקס
1037,DevOps,2021-06-07,3,21000,PTC
1038,Web Programmer,2021-06-07,1,6900,תוכנה פתרונות בי-קום
1039,Software Engineer,2021-06-07,3,23000,גוגל
1040,Software Engineer,2021-06-07,10,25000,אפימילק
1041,Algorithms Developer,2021-06-07,10,25000,אפימילק
1042,Software Engineer,2021-06-07,5,22000,תאלס
1043,Mobile Programmer,2021-06-07,0,12000,סופט אנג'י
1044,Software Engineer,2021-06-07,6,16000,אמדוקס
1045,Java Programmer,2021-06-07,8,18850,אמדוקס
1046,C# Programmer,2021-06-07,9,54000,מיקרוסופט
1047,C# Programmer,2021-06-06,11,9500,VMware
1048,.NET,2021-06-06,4,18500,הפועלים בנק
1049,Web Programmer,2021-06-06,0,7000,טונימו
1050,DevOps,2021-06-06,0,16000,אווירית תעשייה
1051,Database Administrator,2021-06-06,11,22000,האוצר משרד
1052,Software Engineer,2021-06-06,2,10000,פייברנט
1053,Cyber Security,2021-06-06,5,15000,בינלאומי בזק
1054,Cyber Security,2021-06-06,1,10000,נאות טבע
1055,Software Engineer,2021-06-06,2,17000,ורינט
1056,Cyber Security,2021-06-06,7,17000,אמדוקס
1057,Sysadmin Windows,2021-06-06,6,11500,פרנקל כרמל
1058,C Programmer,2021-06-06,11,28000,מוטורולה
1059,Software Engineer,2021-06-05,0,12100,בי.אם.סי
1060,Mobile Programmer,2021-06-05,1,17000,גטס איי
1061,C# Programmer,2021-06-05,4,25000,888
1062,Cyber Security,2021-06-05,3,25000,סלקום
1063,C Programmer,2021-06-05,11,33000,אן.סי.אר
1064,Database Administrator,2021-06-05,10,20000,החשמל חברת
1065,Python Programmer,2021-06-05,1,15000,טבע
1066,Team Leader,2021-06-04,0,5000,נגב עלה
1067,Web Programmer,2021-06-04,0,13000,דואליטיה
1068,Algorithms Developer,2021-06-04,2,24000,ביוטק אנימה
1069,Web Programmer,2021-06-04,0,12000,סופט אנג'י
1070,Software Engineer,2021-06-04,11,23000,אווירית תעשייה
1071,Mobile Programmer,2021-06-04,1,9000,קומקס
1072,C# Programmer,2021-06-04,4,12000,מלם-תים
1073,DevOps,2021-06-01,3,25000,טרידיון
1074,C Programmer,2021-06-01,11,30000,קודאק
1075,C# Programmer,2021-06-01,3,13500,אינטל
1076,Software Engineer,2021-06-01,7,36000,גוגל
1077,Java Programmer,2021-06-01,2,21000,מובייל טכנולוגיות סטארטאפ
1078,Software Engineer,2021-06-01,10,32000,סיסקו
1079,Software Engineer,2021-06-01,3,24000,צ'קפוינט
1080,Java Programmer,2021-06-01,6,30000,דל
1081,Cyber Security,2021-06-01,4,10000,איצ טי אר גי
1082,Python Programmer,2021-05-31,0,15000,צ'קפוינט
1083,Algorithms Developer,2021-05-31,1,12500,מיקרוסופט
1084,C# Programmer,2021-05-31,1,11000,2 yad
1085,Team Leader,2021-05-31,5,6000,כאל ויזה
1086,Software Engineer,2021-05-31,8,30000,דיגיטל ווסטרן
1087,Cyber Security,2021-05-31,2,25000,גוגל
1088,Software Engineer,2021-05-31,10,32000,מערכות אלביט
1089,Mobile Programmer,2021-05-31,3,24000,צ'קפוינט
1090,C# Programmer,2021-05-31,0,10000,אינטל
1091,Cyber Security,2021-05-30,0,15000,"צה""ל"
1092,DevOps,2021-05-30,0,13000,בי.אם.סי
1093,Cyber Security,2021-05-30,2,12000,קלטורה
1094,Cyber Security,2021-05-30,0,12500,הייעוץ חברת BDO האפט זיו
1095,Software Student,2021-05-30,0,8000,אינטל
1096,C# Programmer,2021-05-30,0,5000,מטריקס
1097,Software Engineer,2021-05-30,0,12000,קמביום
1098,Python Programmer,2021-05-30,2,25000,מיין דטה
1099,C Programmer,2021-05-30,3,22000,אינדיגו HP
1100,C Programmer,2021-05-27,6,31000,סקיפיו
1101,Software Student,2021-05-27,0,7000,Group DSP
1102,Python Programmer,2021-05-27,10,40000,נטוורקס אלטו פאלו
1103,Cyber Security,2021-05-27,3,35000,מטריקס
1104,Web Programmer,2021-05-27,0,20000,מיקרופוקוס
1105,Web Programmer,2021-05-27,1,6500,תקשורת פתרונות המשיח ימות
1106,C# Programmer,2021-05-27,0,19000,צ'קפוינט
1107,C# Programmer,2021-05-27,9,22000,אן.סי.אר
1108,Team Leader,2021-05-27,3,32000,מיקרופוקוס
1109,Software Engineer,2021-05-26,10,32000,סופטוור מג'יק
1110,Software Engineer,2021-05-26,0,28000,לייטריקס
1111,Team Leader,2021-05-26,4,10000,התעופה שדות רשות
1112,Software Student,2021-05-26,0,9500,רשתות F5
1113,Software Engineer,2021-05-26,6,15000,"צה""ל"
1114,Cyber Security,2021-05-26,1,9000,פלאפון
1115,C Programmer,2021-05-25,2,12000,מערכות אלביט
1116,Team Leader,2021-05-25,6,27000,פוליקום
1117,.NET,2021-05-25,0,6500,גרופ טופ
1118,Team Leader,2021-05-25,10,20000,זמין ממשל
1119,.NET,2021-05-25,2,6700,טכנולוגיות סי אקס די
1120,Java Programmer,2021-05-25,10,33000,פורסקאוט
1121,Java Programmer,2021-05-25,0,8000,איצ טי אר גי
1122,Software Engineer,2021-05-25,6,48000,נטוורקס אלטו פאלו
1123,Mobile Programmer,2021-05-25,3,31000,VMware
1124,Software Engineer,2021-05-25,0,20000,Innovation BSEA
1125,Web Programmer,2021-05-25,1,14000,טכנולוגיות סיראג'
1126,Software Engineer,2021-05-25,2,17000,סונאראקס
1127,DevOps,2021-05-25,5,50000,מיקרוסופט
1128,Algorithms Developer,2021-05-25,0,5500,איירוקס
1129,Software Engineer,2021-05-25,11,30000,לבס סק היי
1130,Software Student,2021-05-25,3,8000,מערכות אלתא
1131,DevOps,2021-05-25,8,28000,רדקום
1132,Java Programmer,2021-05-24,3,15500,הפועלים בנק
1133,Software Engineer,2021-05-24,4,30000,אפ נט
1134,.NET,2021-05-24,1,11000,מטריקס
1135,C# Programmer,2021-05-24,4,23000,CodeValue
1136,C# Programmer,2021-05-24,4,14000,מנהל4יו
1137,Mobile Programmer,2021-05-24,0,6500,ביגאפס
1138,Web Programmer,2021-05-24,5,23000,מטריקס
1139,DevOps,2021-05-24,5,15000,קואלקום
1140,Software Student,2021-05-24,0,5000,מערכות אלביט
1141,Software Student,2021-05-24,0,6000,נובוטון
1142,Java Programmer,2021-05-24,7,21000,טריבייס
1143,Database Administrator,2021-05-23,1,9000,הוט
1144,Team Leader,2021-05-23,10,27000,רדקום
1145,Software Engineer,2021-05-23,2,28000,נס
1146,Software Engineer,2021-05-23,3,25000,טראקספוינט
1147,Cyber Security,2021-05-23,11,4000,רפאל
1148,Java Programmer,2021-05-23,0,5000,גלובל מטריקס
1149,Software Engineer,2021-05-23,3,25000,מדידה מכשירי נובה
1150,Team Leader,2021-05-23,8,25000,רפאל
1151,Java Programmer,2021-05-23,11,28000,טולונה
1152,Software Student,2021-05-23,1,1200,בירושלים העברית האוניברסיטה
1153,PHP,2021-05-23,1,8900,"בע""מ הוסטינג די. פי. אס."
1154,C# Programmer,2021-05-23,11,21000,scitex hp
1155,.NET,2021-05-23,0,2000,"בע""מ ומערכות תוכנה יעל"
1156,Sysadmin Windows,2021-05-23,8,16000,סנדיסק
1157,Sysadmin Windows,2021-05-23,5,25000,888
1158,C# Programmer,2021-05-23,2,20000,טלדור
1159,Web Programmer,2021-05-23,1,8000,KCS
1160,Web Programmer,2021-05-23,1,8000,"בע""מ ותקשורת מחשבים סי אמ או"
1161,Web Programmer,2021-05-23,3,29000,אינבסטינג.קום
1162,Web Programmer,2021-05-23,4,25000,אוטודסק
1163,DevOps,2021-05-20,3,25500,צ'קפוינט
1164,Cyber Security,2021-05-20,4,16000,לאומי בנק
1165,Software Engineer,2021-05-20,7,27000,מערכות אלביט
1166,Database Administrator,2021-05-20,3,15500,פרולוג'יק
1167,Algorithms Developer,2021-05-20,1,22000,ואטבוקס
1168,Software Engineer,2021-05-20,3,26000,ארניקס
1169,.NET,2021-05-20,3,20000,ורוניס
1170,Web Programmer,2021-05-20,11,21000,IL דרושים
1171,Web Programmer,2021-05-20,4,11000,טכנולוגיות מיפו
1172,C# Programmer,2021-05-20,0,7000,נילוסופט
1173,C# Programmer,2021-05-20,1,13000,סופט אנג'י
1174,Team Leader,2021-05-20,3,8000,סמייל 012
1175,Algorithms Developer,2021-05-20,2,10000,ביטוח כלל
1176,Java Programmer,2021-05-19,10,30000,מערכות גב
1177,Software Student,2021-05-19,0,9000,נייס
1178,Software Engineer,2021-05-19,0,9000,קיידנס
1179,Software Engineer,2021-05-19,6,22000,סינמידיה
1180,.NET,2021-05-19,7,18000,אווירית תעשייה
1181,Software Student,2021-05-19,0,1500,טכניון
1182,Algorithms Developer,2021-05-19,3,19000,סופרדריבטיבס
1183,Cyber Security,2021-05-19,5,12000,מערכות בגירה
1184,Python Programmer,2021-05-19,4,29000,Tapingo
1185,Algorithms Developer,2021-05-18,7,35000,ראיה טכנולוגיות מובילאיי
1186,Algorithms Developer,2021-05-18,10,17000,נס
1187,Software Engineer,2021-05-18,11,40000,אינטל
1188,Web Programmer,2021-05-18,4,13000,מידע טכנולוגיות ידיעות
1189,Python Programmer,2021-05-17,0,20000,צ'קפוינט
1190,Team Leader,2021-05-17,8,34000,פריון
1191,.NET,2021-05-17,7,22000,ריטליקס
1192,Database Administrator,2021-05-17,6,20000,ואלינור
1193,Team Leader,2021-05-17,3,1300,אמינולאב
1194,C# Programmer,2021-05-17,2,17000,תוכנה פיתוח גלאור
1195,Web Programmer,2021-05-17,6,32000,אניויז'ן
1196,Cyber Security,2021-05-17,4,22000,דלויט
1197,Team Leader,2021-05-17,10,10000,שירביט
1198,Java Programmer,2021-05-13,0,7500,מלם-תים
1199,Java Programmer,2021-05-13,1,21300,קוגנייט
1200,Software Engineer,2021-05-13,10,35000,סמסונג
1201,C Programmer,2021-05-13,4,14500,סינטקמדיה
1202,Team Leader,2021-05-13,10,34000,ישראל נילסן
1203,Software Engineer,2021-05-12,7,29000,מערכות אלביט
1204,Software Engineer,2021-05-12,2,28000,אפל
1205,Software Engineer,2021-05-12,0,17000,אודיוקודס
1206,DevOps,2021-05-12,3,19000,פלייטיקה
1207,DevOps,2021-05-12,7,29000,מדטרוניק
1208,Cyber Security,2021-05-12,0,11000,"צה""ל"
1209,Software Engineer,2021-05-12,11,17000,אמפרסט
1210,Algorithms Developer,2021-05-12,11,62000,אינטל
1211,Software Student,2021-05-12,1,8000,מיקרוסופט
1212,Software Engineer,2021-05-12,3,15000,TowerJazz
1213,Java Programmer,2021-05-12,1,11000,הפועלים בנק
1214,Software Engineer,2021-05-12,11,30000,ארינטה
1215,Algorithms Developer,2021-05-10,5,10000,מטריקס
1216,Java Programmer,2021-05-10,11,28000,ויאקסס
1217,C Programmer,2021-05-10,10,23000,רפאל
1218,DevOps,2021-05-10,7,33000,מערכות אלביט
1219,Software Engineer,2021-05-10,5,22000,מקסלינאר
1220,Web Programmer,2021-05-10,1,9000,מערכות אלתא
1221,C Programmer,2021-05-10,0,19000,צ'קפוינט
1222,Web Programmer,2021-05-10,0,8000,אקספריס
1223,Java Programmer,2021-05-07,0,18000,ליבריס אקס
1224,C# Programmer,2021-05-07,3,17000,טרונובייט
1225,Team Leader,2021-05-07,10,30000,רפאל
1226,Java Programmer,2021-05-07,0,20000,ספיאנס
1227,C# Programmer,2021-05-07,10,20000,מידע מערכות דניאל
1228,Software Engineer,2021-05-07,0,16500,צ'קפוינט
1229,Java Programmer,2021-05-07,0,15000,אמדוקס
1230,PHP,2021-05-05,3,15000,נייס
1231,Team Leader,2021-05-05,5,28800,נייס
1232,.NET,2021-05-05,7,15400,רזאל
1233,Sysadmin Windows,2021-05-05,3,13000,ושדות מהולל איתן
1234,Java Programmer,2021-05-05,4,28000,מבניר
1235,Cyber Security,2021-05-05,0,12000,"נתב""ג"
1236,Python Programmer,2021-05-05,5,27000,נייס
1237,C# Programmer,2021-05-04,4,27000,נובה
1238,C# Programmer,2021-05-04,2,13500,תדיעד
1239,Python Programmer,2021-05-04,2,20000,אפפקארד
1240,Python Programmer,2021-05-04,2,15000,גוגל
1241,Database Administrator,2021-05-04,6,32000,ניאוגיימס
1242,C Programmer,2021-05-04,5,34000,Airspan
1243,Mobile Programmer,2021-05-04,6,28000,אפליקאסטר
1244,C# Programmer,2021-05-04,4,22500,סיסטמס מדיקל פיליפס
1245,Sysadmin Windows,2021-05-04,5,16000,דיסקונט בנק
1246,C Programmer,2021-05-04,8,32000,WinWin
1247,C# Programmer,2021-05-04,7,14000,365scores
1248,Web Programmer,2021-05-04,0,9500,ראמבל
1249,Web Programmer,2021-05-04,3,18000,היפוטק
1250,Software Engineer,2021-05-04,1,10000,אקספריס
1251,Web Programmer,2021-05-04,5,28000,אינטלג'נס נטורל
1252,Java Programmer,2021-05-04,0,25000,אינטואיט
1253,Python Programmer,2021-05-04,4,15000,אמרל
1254,Web Programmer,2021-05-04,0,16000,אינוביד
1255,Java Programmer,2021-05-04,11,29000,ישיר ביטוח
1256,Java Programmer,2021-05-04,4,20000,לוגנט
1257,Algorithms Developer,2021-05-04,11,31000,דל
1258,Algorithms Developer,2021-05-04,0,12000,אינטל
1259,C Programmer,2021-05-04,2,16000,נס
1260,Database Administrator,2021-05-04,0,20000,אמדוקס
1261,.NET,2021-05-04,5,20000,טי איי ג'י אס טי
1262,Cyber Security,2021-05-04,2,19500,באגסק
1263,Java Programmer,2021-05-04,2,13500,סופטוויר גליל
1264,Java Programmer,2021-05-04,2,12500,שורקומפ
1265,Algorithms Developer,2021-05-04,11,45000,מערכות טרייסנס
1266,Cyber Security,2021-05-04,0,7500,מוטורולה
1267,DevOps,2021-05-04,3,35000,גוגל
1268,C# Programmer,2021-05-04,7,25000,אלספק
1269,Web Programmer,2021-05-04,1,15000,סופטוור זומין
1270,Web Programmer,2021-05-04,2,9000,הירולו
1271,Team Leader,2021-05-04,6,45000,קומסק
1272,Software Student,2021-05-04,0,8500,נייס
1273,Software Student,2021-05-04,0,7000,אינטל
1274,Software Engineer,2021-05-04,11,35500,טנכור קלא
1275,Software Engineer,2021-05-04,10,80000,Wix
1276,Software Engineer,2021-05-04,10,25000,סקודיקס
1277,Software Engineer,2021-05-04,10,26000,מדיקל core Q
1278,Java Programmer,2021-05-04,4,20000,אמדוקס
1279,PHP,2021-05-04,2,14000,איינמאנג'
1280,Team Leader,2021-05-04,11,25000,אמדוקס
1281,Java Programmer,2021-05-04,0,14000,אמדוקס
1282,Java Programmer,2021-05-04,3,12000,אפל
1283,C# Programmer,2021-05-04,1,16000,אינפינטי
1284,Software Engineer,2021-05-04,11,46000,אמזון
1285,Software Engineer,2021-05-04,0,18000,ראיה טכנולוגיות מובילאיי
1286,Team Leader,2021-05-04,10,13000,ברינקס
1287,Software Engineer,2021-05-04,6,47000,רשתות F5
1288,Software Engineer,2021-05-04,3,24000,סימנס
1289,C Programmer,2021-05-04,1,23000,מיקרוסופט
1290,Software Student,2021-05-04,0,8000,אינטל
1291,Software Engineer,2021-05-04,10,26000,מערכות אלתא
1292,Software Engineer,2021-05-04,11,41000,רשתות F5
1293,Software Engineer,2021-05-04,8,25000,טנכור קלא
1294,Software Engineer,2021-05-01,0,18000,רד
1295,Team Leader,2021-05-01,4,15500,דיגיטל מקאן יוניברסל
1296,Algorithms Developer,2021-05-01,1,18000,רפאל
1297,Software Student,2021-05-01,0,6500,צ'קפוינט
1298,Web Programmer,2021-05-01,4,25000,סיסטמס מדיקל פיליפס
1299,Web Programmer,2021-05-01,2,10000,2 yad
1300,Web Programmer,2021-04-28,8,18000,אמדוקס
1301,Software Engineer,2021-04-28,4,11500,וייבלנגת'
1302,Sysadmin Windows,2021-04-28,2,8500,קומסק
1303,Software Engineer,2021-04-28,6,16000,אקספריס
1304,.NET,2021-04-28,1,13500,רמדור
1305,Software Engineer,2021-04-28,7,26000,פיתוח סילורה
1306,C# Programmer,2021-04-28,0,8000,אדום דוד מגן
1307,C# Programmer,2021-04-28,10,21000,נס
1308,Software Engineer,2021-04-27,2,20000,אודיוקודס
1309,C Programmer,2021-04-27,5,22000,רפאל
1310,Algorithms Developer,2021-04-27,2,17000,צ'קפוינט
1311,Algorithms Developer,2021-04-27,0,4800,אווירית תעשייה
1312,Software Engineer,2021-04-27,5,20000,מטריקס
1313,C# Programmer,2021-04-27,5,30000,מיקרוסופט
1314,Software Engineer,2021-04-27,11,30000,קיוקור
1315,Web Programmer,2021-04-27,6,32000,סיסטמס קריון
1316,Java Programmer,2021-04-27,0,17000,אמדוקס
1317,C# Programmer,2021-04-27,10,20000,אפקון
1318,C Programmer,2021-04-26,0,8500,סופטוויר גליל
1319,Software Engineer,2021-04-26,6,3000,מיקסטיילס
1320,Java Programmer,2021-04-26,0,8000,מטריקס
1321,C# Programmer,2021-04-26,4,13000,ממוגלובל
1322,Java Programmer,2021-04-25,0,8000,רדויז'ן
1323,Java Programmer,2021-04-25,11,21000,טי איי ג'י אס טי
1324,DevOps,2021-04-25,3,33500,נייס
1325,Mobile Programmer,2021-04-25,3,17000,אפפס – ג׳יני
1326,Algorithms Developer,2021-04-25,10,24000,אינדיגו HP
1327,Mobile Programmer,2021-04-25,0,16000,צ'קפוינט
1328,C# Programmer,2021-04-25,7,14500,גלובל מטריקס
1329,C# Programmer,2021-04-25,2,10000,רפאל
1330,Software Engineer,2021-04-25,6,32000,500 פלוס
1331,Software Student,2021-04-25,1,8000,האט רד
1332,Database Administrator,2021-04-25,11,12000,הפועלים בנק
1333,Web Programmer,2021-04-25,10,25000,500 פלוס
1334,.NET,2021-04-25,4,15000,אואזיס קוד
1335,Python Programmer,2021-04-22,0,13000,טק ליילין
1336,Java Programmer,2021-04-22,0,12000,אמדוקס
1337,Java Programmer,2021-04-22,0,16000,אמדוקס
1338,Python Programmer,2021-04-22,11,34000,סינמידיה
1339,PHP,2021-04-22,4,22000,וובפאלס קבוצת
1340,Software Engineer,2021-04-22,11,40000,Ebs
1341,C# Programmer,2021-04-22,2,25000,ארינטה
1342,C# Programmer,2021-04-21,2,20000,צ'קפוינט
1343,Web Programmer,2021-04-21,0,19000,צ'קפוינט
1344,Web Programmer,2021-04-21,0,10000,גלובל מטריקס
1345,Web Programmer,2021-04-21,1,10000,תעשיות פרינט אורדע
1346,Team Leader,2021-04-21,5,10500,"צה""ל"
1347,Web Programmer,2021-04-21,4,25000,טכנולוגיות טאביט
1348,Sysadmin Windows,2021-04-21,4,15000,מחשבים תקשורת בינת
1349,Sysadmin Windows,2021-04-21,3,15500,לומיניס
1350,Java Programmer,2021-04-21,2,12500,הדרכה ברייס ג'ון
1351,Cyber Security,2021-04-21,2,4000,מטרופולינט
1352,Algorithms Developer,2021-04-21,1,15000,דיאבטס דרימד
1353,DevOps,2021-04-21,0,1000,"צה""ל"
1354,Web Programmer,2021-04-20,0,10000,Alljobs
1355,DevOps,2021-04-20,5,30000,ויה
1356,Software Engineer,2021-04-20,4,26500,מטרוניקס
1357,C# Programmer,2021-04-20,7,30000,אינטל
1358,C Programmer,2021-04-20,5,26000,מערכות אלביט
1359,Web Programmer,2021-04-20,2,12000,קמביום
1360,Web Programmer,2021-04-20,3,18000,Alljobs
1361,Web Programmer,2021-04-20,1,14000,Alljobs
1362,Web Programmer,2021-04-19,3,30000,טרניס
1363,Java Programmer,2021-04-19,7,27500,אמפרסט
1364,Software Engineer,2021-04-19,11,37000,אינפינידט
1365,DevOps,2021-04-19,2,9000,אינטל
1366,PHP,2021-04-19,6,22000,מוטורולה
1367,Software Engineer,2021-04-19,3,39000,מיקרוסופט
1368,Web Programmer,2021-04-18,4,19000,חילן-טק
1369,Web Programmer,2021-04-18,3,15000,סטורסופט
1370,Software Engineer,2021-04-18,5,19000,מערכות אלביט
1371,DevOps,2021-04-18,2,30000,Wix
1372,Software Engineer,2021-04-18,11,58110,גוגל
1373,Python Programmer,2021-04-18,2,30000,סנטינלוואן
1374,Software Engineer,2021-04-18,11,17500,טלמטיקס
1375,Algorithms Developer,2021-04-18,4,30000,קורפוטוניקס
1376,Software Student,2021-04-18,0,3000,וולקני מכון
1377,Java Programmer,2021-04-18,11,21000,טי איי ג'י אס טי
1378,C Programmer,2021-04-18,8,27000,רדוור
1379,Java Programmer,2021-04-18,3,15000,צ'קפוינט
1380,Java Programmer,2021-04-18,5,22000,ורינט
1381,Java Programmer,2021-04-18,2,16300,מטריקס
1382,Mobile Programmer,2021-04-18,3,17000,מטריקס
